image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
191,191,2,TRUE,-1,0,1,0
192,192,2,TRUE,-1,0,1,0
193,193,1,TRUE,-1,0,1,0
194,194,1,TRUE,-1,0,1,0
195,195,3,TRUE,-1,0,1,0
196,196,3,TRUE,-1,0,1,0
197,197,2,TRUE,-1,0,1,0
198,198,4,TRUE,-1,0,1,0
199,199,2,TRUE,-1,0,1,0
200,200,4,TRUE,-1,0,1,0
201,201,2,TRUE,-1,0,1,0
202,202,1,TRUE,-1,0,1,0
203,203,1,TRUE,-1,0,1,0
204,204,2,TRUE,-1,0,1,0
205,205,4,TRUE,-1,0,1,0
206,206,2,TRUE,-1,0,1,0
207,207,2,TRUE,-1,0,1,0
208,208,2,TRUE,-1,0,1,0
209,209,2,TRUE,-1,0,1,0
210,210,3,TRUE,-1,0,1,0
211,211,3,TRUE,-1,0,1,0
212,212,3,TRUE,-1,0,1,0
213,213,2,TRUE,-1,0,1,0
214,214,2,TRUE,-1,0,1,0
215,215,3,TRUE,-1,0,1,0
216,216,2,TRUE,-1,0,1,0
217,217,2,TRUE,-1,0,1,0
218,218,1,TRUE,-1,0,1,0
219,219,3,TRUE,-1,0,1,0
220,220,2,TRUE,-1,0,1,0
221,221,3,TRUE,-1,0,1,0
222,222,2,TRUE,-1,0,1,0
223,223,1,TRUE,-1,0,1,0
224,224,2,TRUE,-1,0,1,0
225,225,2,TRUE,-1,0,1,0
226,226,3,TRUE,-1,0,1,0
227,227,3,TRUE,-1,0,1,0
228,228,2,TRUE,-1,0,1,0
229,229,4,TRUE,-1,0,1,0
230,230,2,TRUE,-1,0,1,0
231,231,1,TRUE,-1,0,1,0
232,232,1,TRUE,-1,0,1,0
233,233,2,TRUE,-1,0,1,0
234,234,2,TRUE,-1,0,1,0
235,235,3,TRUE,-1,0,1,0
236,236,2,TRUE,-1,0,1,0
237,237,2,TRUE,-1,0,1,0
238,238,2,TRUE,-1,0,1,0
239,239,2,TRUE,-1,0,1,0
240,240,4,TRUE,-1,0,1,0
241,241,2,TRUE,-1,0,1,0
242,242,2,TRUE,-1,0,1,0
243,243,1,TRUE,-1,0,1,0
244,244,2,TRUE,-1,0,1,0
245,245,2,TRUE,-1,0,1,0
246,246,3,TRUE,-1,0,1,0
247,247,2,TRUE,-1,0,1,0
248,248,2,TRUE,-1,0,1,0
249,249,1,TRUE,-1,0,1,0
250,250,3,TRUE,-1,0,1,0
251,251,3,TRUE,-1,0,1,0
252,252,2,TRUE,-1,0,1,0
253,253,4,TRUE,-1,0,1,0
254,254,2,TRUE,-1,0,1,0
255,255,1,TRUE,-1,0,1,0
256,256,1,TRUE,-1,0,1,0
257,257,1,TRUE,-1,0,1,0
258,258,2,TRUE,-1,0,1,0
259,259,2,TRUE,-1,0,1,0
260,260,2,TRUE,-1,0,1,0
261,261,2,TRUE,-1,0,1,0
262,262,2,TRUE,-1,0,1,0
263,263,3,TRUE,-1,0,1,0
264,264,2,TRUE,-1,0,1,0
265,265,2,TRUE,-1,0,1,0
266,266,1,TRUE,-1,0,1,0
267,267,1,TRUE,-1,0,1,0
268,268,3,TRUE,-1,0,1,0
269,269,2,TRUE,-1,0,1,0
270,270,4,TRUE,-1,0,1,0
271,271,2,TRUE,-1,0,1,0
272,272,1,TRUE,-1,0,1,0
273,273,1,TRUE,-1,0,1,0
274,274,2,TRUE,-1,0,1,0
275,275,1,TRUE,-1,0,1,0
276,276,2,TRUE,-1,0,1,0
277,277,2,TRUE,-1,0,1,0
