image_idx,trialidx,target_location,fixations_count,found,sloc_fixation_index
285,285,"(42, 70)",4,True,-1
286,286,"(42, 153)",6,True,-1
287,287,"(42, 153)",5,True,-1
288,288,"(111, 28)",2,True,-1
289,289,"(42, 70)",4,True,-1
290,290,"(42, 153)",6,True,-1
291,291,"(42, 70)",5,True,-1
292,292,"(180, 153)",5,True,-1
293,293,"(180, 153)",5,True,-1
294,294,"(111, 194)",2,True,-1
295,295,"(180, 153)",6,True,-1
296,296,"(180, 70)",5,True,-1
297,297,"(180, 70)",6,True,-1
298,298,"(111, 194)",2,True,-1
299,299,"(42, 153)",4,True,-1
300,300,"(42, 153)",4,True,-1
301,301,"(42, 153)",5,True,-1
302,302,"(111, 194)",5,True,-1
303,303,"(111, 194)",5,True,-1
304,304,"(42, 153)",3,True,-1
305,305,"(42, 153)",4,True,-1
306,306,"(42, 70)",4,True,-1
307,307,"(180, 153)",6,True,-1
308,308,"(180, 153)",4,True,-1
309,309,"(180, 70)",5,True,-1
310,310,"(180, 153)",5,True,-1
311,311,"(180, 153)",4,True,-1
312,312,"(42, 70)",4,True,-1
313,313,"(111, 194)",1,True,-1
314,314,"(180, 153)",5,True,-1
315,315,"(180, 153)",6,True,-1
316,316,"(111, 194)",4,True,-1
317,317,"(42, 153)",3,True,-1
318,318,"(180, 70)",5,True,-1
319,319,"(180, 70)",5,True,-1
320,320,"(42, 70)",4,True,-1
321,321,"(180, 153)",5,True,-1
322,322,"(111, 194)",1,True,-1
323,323,"(111, 194)",1,True,-1
324,324,"(180, 70)",6,True,-1
325,325,"(111, 28)",4,True,-1
326,326,"(180, 70)",5,True,-1
327,327,"(42, 70)",5,True,-1
328,328,"(111, 28)",3,True,-1
329,329,"(180, 153)",5,True,-1
330,330,"(111, 194)",2,True,-1
331,331,"(42, 153)",5,True,-1
332,332,"(180, 153)",6,True,-1
333,333,"(180, 70)",4,True,-1
334,334,"(180, 70)",5,True,-1
335,335,"(180, 153)",4,True,-1
336,336,"(180, 153)",5,True,-1
337,337,"(180, 70)",6,True,-1
338,338,"(42, 153)",6,True,-1
339,339,"(180, 153)",4,True,-1
340,340,"(180, 153)",5,True,-1
341,341,"(42, 70)",4,True,-1
342,342,"(111, 194)",1,True,-1
343,343,"(180, 153)",5,True,-1
344,344,"(111, 28)",3,True,-1
345,345,"(111, 28)",5,True,-1
346,346,"(42, 70)",6,True,-1
347,347,"(180, 153)",4,True,-1
348,348,"(42, 70)",5,True,-1
349,349,"(42, 70)",5,True,-1
350,350,"(111, 194)",5,True,-1
351,351,"(42, 70)",4,True,-1
352,352,"(111, 28)",4,True,-1
353,353,"(180, 70)",5,True,-1
354,354,"(180, 153)",4,True,-1
355,355,"(42, 70)",6,True,-1
356,356,"(111, 194)",1,True,-1
357,357,"(111, 194)",1,True,-1
358,358,"(111, 194)",5,True,-1
359,359,"(180, 153)",3,True,-1
360,360,"(42, 70)",6,True,-1
361,361,"(111, 194)",5,True,-1
362,362,"(111, 28)",4,True,-1
363,363,"(111, 194)",4,True,-1
364,364,"(111, 28)",5,True,-1
365,365,"(111, 28)",4,True,-1
366,366,"(111, 194)",5,True,-1
367,367,"(111, 28)",4,True,-1
368,368,"(180, 153)",6,True,-1
369,369,"(42, 70)",5,True,-1
370,370,"(180, 70)",6,True,-1
371,371,"(42, 70)",5,True,-1
372,372,"(180, 70)",6,True,-1
373,373,"(180, 70)",5,True,-1
374,374,"(180, 70)",4,True,-1
375,375,"(42, 70)",5,True,-1
376,376,"(42, 70)",5,True,-1
377,377,"(42, 153)",4,True,-1
378,378,"(111, 194)",3,True,-1
379,379,"(111, 28)",4,True,-1
380,380,"(42, 70)",4,True,-1
381,381,"(42, 153)",3,True,-1
382,382,"(111, 28)",2,True,-1
383,383,"(111, 28)",4,True,-1
384,384,"(180, 70)",5,True,-1
385,385,"(111, 28)",5,True,-1
386,386,"(111, 194)",1,True,-1
387,387,"(42, 153)",6,True,-1
388,388,"(42, 70)",4,True,-1
389,389,"(42, 153)",5,True,-1
390,390,"(111, 194)",6,True,-1
391,391,"(42, 153)",5,True,-1
392,392,"(111, 28)",4,True,-1
393,393,"(42, 153)",3,True,-1
394,394,"(42, 70)",6,True,-1
395,395,"(111, 28)",3,True,-1
396,396,"(42, 70)",5,True,-1
397,397,"(42, 153)",5,True,-1
398,398,"(111, 194)",1,True,-1
399,399,"(180, 153)",6,True,-1
400,400,"(111, 28)",5,True,-1
401,401,"(111, 28)",5,True,-1
402,402,"(111, 28)",3,True,-1
403,403,"(180, 153)",6,True,-1
404,404,"(42, 70)",3,True,-1
405,405,"(180, 70)",5,True,-1
406,406,"(180, 153)",4,True,-1
407,407,"(180, 153)",3,True,-1
408,408,"(42, 153)",6,True,-1
409,409,"(42, 153)",5,True,-1
410,410,"(42, 70)",6,True,-1
411,411,"(42, 153)",5,True,-1
412,412,"(111, 28)",4,True,-1
413,413,"(180, 153)",3,True,-1
414,414,"(42, 153)",6,True,-1
415,415,"(42, 153)",5,True,-1
416,416,"(42, 70)",4,True,-1
417,417,"(180, 153)",5,True,-1
418,418,"(180, 153)",5,True,-1
419,419,"(180, 70)",5,True,-1
420,420,"(111, 28)",5,True,-1
421,421,"(180, 153)",6,True,-1
422,422,"(180, 153)",4,True,-1
423,423,"(42, 70)",5,True,-1
424,424,"(42, 153)",6,True,-1
425,425,"(180, 153)",4,True,-1
426,426,"(180, 70)",5,True,-1
427,427,"(42, 70)",6,True,-1
428,428,"(111, 28)",6,True,-1
429,429,"(42, 153)",4,True,-1
430,430,"(111, 28)",5,True,-1
431,431,"(180, 153)",5,True,-1
432,432,"(42, 70)",5,True,-1
433,433,"(180, 70)",5,True,-1
434,434,"(111, 28)",4,True,-1
435,435,"(42, 70)",4,True,-1
436,436,"(180, 70)",5,True,-1
437,437,"(42, 153)",6,True,-1
438,438,"(42, 70)",5,True,-1
439,439,"(111, 28)",4,True,-1
440,440,"(111, 28)",4,True,-1
441,441,"(42, 153)",6,True,-1
442,442,"(42, 70)",5,True,-1
443,443,"(111, 28)",2,True,-1
444,444,"(180, 153)",6,True,-1
445,445,"(111, 28)",5,True,-1
446,446,"(42, 153)",3,True,-1
447,447,"(111, 194)",5,True,-1
448,448,"(180, 153)",5,True,-1
449,449,"(180, 70)",5,True,-1
450,450,"(42, 70)",6,True,-1
451,451,"(180, 153)",5,True,-1
452,452,"(180, 153)",6,True,-1
453,453,"(42, 70)",4,True,-1
454,454,"(111, 194)",5,True,-1
455,455,"(180, 153)",4,True,-1
456,456,"(111, 28)",3,True,-1
457,457,"(42, 70)",5,True,-1
458,458,"(42, 153)",3,True,-1
459,459,"(42, 153)",4,True,-1
460,460,"(111, 194)",2,True,-1
461,461,"(111, 28)",4,True,-1
462,462,"(111, 28)",4,True,-1
463,463,"(42, 70)",6,True,-1
464,464,"(42, 70)",6,True,-1
465,465,"(111, 28)",5,True,-1
466,466,"(42, 70)",5,True,-1
467,467,"(180, 70)",5,True,-1
468,468,"(180, 70)",6,True,-1
469,469,"(180, 70)",4,True,-1
470,470,"(111, 28)",4,True,-1
471,471,"(42, 153)",6,True,-1
472,472,"(42, 70)",6,True,-1
473,473,"(111, 194)",1,True,-1
474,474,"(42, 70)",5,True,-1
475,475,"(42, 70)",6,True,-1
476,476,"(111, 194)",1,True,-1
477,477,"(42, 70)",4,True,-1
478,478,"(180, 70)",5,True,-1
479,479,"(180, 70)",5,True,-1
480,480,"(111, 28)",4,True,-1
481,481,"(180, 70)",5,True,-1
482,482,"(111, 194)",2,True,-1
483,483,"(42, 70)",5,True,-1
484,484,"(111, 28)",4,True,-1
485,485,"(111, 194)",2,True,-1
486,486,"(180, 153)",3,True,-1
