image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
1996,556,1,TRUE,-1,1,0,0
1997,557,1,TRUE,-1,1,0,0
1998,558,1,TRUE,-1,1,0,0
1999,559,1,TRUE,-1,1,0,0
2000,560,1,TRUE,-1,1,0,0
2001,561,1,TRUE,-1,1,0,0
2002,562,1,TRUE,-1,1,0,0
2003,563,1,TRUE,-1,1,0,0
2004,564,1,TRUE,-1,1,0,0
2005,565,1,TRUE,-1,1,0,0
2006,566,1,TRUE,-1,1,0,0
2007,567,1,TRUE,-1,1,0,0
2008,568,1,TRUE,-1,1,0,0
2009,569,1,TRUE,-1,1,0,0
2010,570,1,TRUE,-1,1,0,0
2011,571,1,TRUE,-1,1,0,0
2012,572,1,TRUE,-1,1,0,0
2013,573,1,TRUE,-1,1,0,0
2014,574,1,TRUE,-1,1,0,0
2015,575,1,TRUE,-1,1,0,0
2016,576,1,TRUE,-1,1,0,0
2017,577,1,TRUE,-1,1,0,0
2018,578,1,TRUE,-1,1,0,0
2019,579,1,TRUE,-1,1,0,0
2020,580,1,TRUE,-1,1,0,0
2021,581,1,TRUE,-1,1,0,0
2022,582,1,TRUE,-1,1,0,0
2023,583,1,TRUE,-1,1,0,0
2024,584,1,TRUE,-1,1,0,0
2025,585,1,TRUE,-1,1,0,0
2026,586,1,TRUE,-1,1,0,0
2027,587,1,TRUE,-1,1,0,0
2028,588,1,TRUE,-1,1,0,0
2029,589,1,TRUE,-1,1,0,0
2030,590,1,TRUE,-1,1,0,0
2031,591,1,TRUE,-1,1,0,0
2032,592,1,TRUE,-1,1,0,0
2033,593,1,TRUE,-1,1,0,0
2034,594,1,TRUE,-1,1,0,0
2035,595,1,TRUE,-1,1,0,0
2036,596,1,TRUE,-1,1,0,0
2037,597,1,TRUE,-1,1,0,0
2038,598,1,TRUE,-1,1,0,0
2039,599,1,TRUE,-1,1,0,0
2040,600,1,TRUE,-1,1,0,0
2041,601,1,TRUE,-1,1,0,0
2042,602,1,TRUE,-1,1,0,0
2043,603,1,TRUE,-1,1,0,0
2044,604,1,TRUE,-1,1,0,0
2045,605,1,TRUE,-1,1,0,0
2046,606,1,TRUE,-1,1,0,0
2047,607,1,TRUE,-1,1,0,0
2048,608,1,TRUE,-1,1,0,0
2049,609,1,TRUE,-1,1,0,0
2050,610,1,TRUE,-1,1,0,0
2051,611,1,TRUE,-1,1,0,0
2052,612,1,TRUE,-1,1,0,0
2053,613,1,TRUE,-1,1,0,0
2054,614,1,TRUE,-1,1,0,0
2055,615,1,TRUE,-1,1,0,0
2056,616,1,TRUE,-1,1,0,0
2057,617,1,TRUE,-1,1,0,0
2058,618,1,TRUE,-1,1,0,0
2059,619,1,TRUE,-1,1,0,0
2060,620,1,TRUE,-1,1,0,0
2061,621,1,TRUE,-1,1,0,0
2062,622,1,TRUE,-1,1,0,0
2063,623,1,TRUE,-1,1,0,0
2064,624,1,TRUE,-1,1,0,0
2065,625,1,TRUE,-1,1,0,0
2066,626,1,TRUE,-1,1,0,0
2067,627,1,TRUE,-1,1,0,0
2068,628,1,TRUE,-1,1,0,0
2069,629,1,TRUE,-1,1,0,0
2070,630,1,TRUE,-1,1,0,0
2071,631,1,TRUE,-1,1,0,0
2072,632,1,TRUE,-1,1,0,0
2073,633,1,TRUE,-1,1,0,0
2074,634,1,TRUE,-1,1,0,0
2075,635,1,TRUE,-1,1,0,0
2076,636,1,TRUE,-1,1,0,0
2077,637,1,TRUE,-1,1,0,0
2078,638,1,TRUE,-1,1,0,0
2079,639,1,TRUE,-1,1,0,0
2080,640,1,TRUE,-1,1,0,0
2081,641,1,TRUE,-1,1,0,0
2082,642,1,TRUE,-1,1,0,0
2083,643,1,TRUE,-1,1,0,0
2084,644,1,TRUE,-1,1,0,0
2085,645,1,TRUE,-1,1,0,0
2086,646,1,TRUE,-1,1,0,0
2087,647,1,TRUE,-1,1,0,0
2088,648,1,TRUE,-1,1,0,0
2089,649,1,TRUE,-1,1,0,0
2090,650,1,TRUE,-1,1,0,0
2091,651,1,TRUE,-1,1,0,0
2092,652,1,TRUE,-1,1,0,0
2093,653,1,TRUE,-1,1,0,0
2094,654,1,TRUE,-1,1,0,0
2095,655,1,TRUE,-1,1,0,0
2096,656,1,TRUE,-1,1,0,0
2097,657,1,TRUE,-1,1,0,0
2098,658,1,TRUE,-1,1,0,0
2099,659,1,TRUE,-1,1,0,0
2100,660,1,TRUE,-1,1,0,0
2101,661,1,TRUE,-1,1,0,0
2102,662,1,TRUE,-1,1,0,0
2103,663,1,TRUE,-1,1,0,0
2104,664,1,TRUE,-1,1,0,0
2105,665,1,TRUE,-1,1,0,0
2106,666,1,TRUE,-1,1,0,0
2107,667,1,TRUE,-1,1,0,0
2108,668,1,TRUE,-1,1,0,0
2109,669,1,TRUE,-1,1,0,0
2110,670,1,TRUE,-1,1,0,0
2111,671,1,TRUE,-1,1,0,0
2112,672,1,TRUE,-1,1,0,0
2113,673,1,TRUE,-1,1,0,0
2114,674,1,TRUE,-1,1,0,0
2115,675,1,TRUE,-1,1,0,0
2116,676,1,TRUE,-1,1,0,0
2117,677,1,TRUE,-1,1,0,0
2118,678,1,TRUE,-1,1,0,0
2119,679,1,TRUE,-1,1,0,0
2120,680,1,TRUE,-1,1,0,0
2121,681,1,TRUE,-1,1,0,0
2122,682,1,TRUE,-1,1,0,0
2123,683,1,TRUE,-1,1,0,0
2124,684,1,TRUE,-1,1,0,0
2125,685,1,TRUE,-1,1,0,0
2126,686,1,TRUE,-1,1,0,0
2127,687,1,TRUE,-1,1,0,0
2128,688,1,TRUE,-1,1,0,0
2129,689,1,TRUE,-1,1,0,0
2130,690,1,TRUE,-1,1,0,0
2131,691,1,TRUE,-1,1,0,0
2132,692,1,TRUE,-1,1,0,0
2133,693,1,TRUE,-1,1,0,0
2134,694,1,TRUE,-1,1,0,0
2135,695,1,TRUE,-1,1,0,0
2136,696,1,TRUE,-1,1,0,0
2137,697,1,TRUE,-1,1,0,0
2138,698,1,TRUE,-1,1,0,0
2139,699,1,TRUE,-1,1,0,0
2140,700,1,TRUE,-1,1,0,0
2141,701,1,TRUE,-1,1,0,0
2142,702,1,TRUE,-1,1,0,0
2143,703,1,TRUE,-1,1,0,0
2144,704,1,TRUE,-1,1,0,0
2145,705,1,TRUE,-1,1,0,0
2146,706,1,TRUE,-1,1,0,0
2147,707,1,TRUE,-1,1,0,0
2148,708,1,TRUE,-1,1,0,0
2149,709,1,TRUE,-1,1,0,0
2150,710,1,TRUE,-1,1,0,0
2151,711,1,TRUE,-1,1,0,0
2152,712,1,TRUE,-1,1,0,0
2153,713,1,TRUE,-1,1,0,0
2154,714,1,TRUE,-1,1,0,0
2155,715,1,TRUE,-1,1,0,0
2156,716,1,TRUE,-1,1,0,0
2157,717,1,TRUE,-1,1,0,0
2158,718,1,TRUE,-1,1,0,0
2159,719,1,TRUE,-1,1,0,0
2160,720,1,TRUE,-1,1,0,0
2161,721,2,TRUE,1,1,0,1
2162,722,2,TRUE,1,1,0,1
2163,723,2,TRUE,1,1,0,1
2164,724,2,TRUE,1,1,0,1
2165,725,2,TRUE,1,1,0,1
2166,726,2,TRUE,1,1,0,1
2167,727,2,TRUE,1,1,0,1
2168,728,2,TRUE,1,1,0,1
2169,729,2,TRUE,1,1,0,1
2170,730,2,TRUE,1,1,0,1
2171,731,2,TRUE,1,1,0,1
2172,732,2,TRUE,1,1,0,1
2173,733,2,TRUE,1,1,0,1
2174,734,2,TRUE,1,1,0,1
2175,735,2,TRUE,1,1,0,1
2176,736,2,TRUE,1,1,0,1
2177,737,2,TRUE,1,1,0,1
2178,738,2,TRUE,1,1,0,1
2179,739,2,TRUE,1,1,0,1
2180,740,2,TRUE,1,1,0,1
2181,741,2,TRUE,1,1,0,1
2182,742,2,TRUE,1,1,0,1
2183,743,2,TRUE,1,1,0,1
2184,744,2,TRUE,1,1,0,1
2185,745,2,TRUE,1,1,0,1
2186,746,2,TRUE,1,1,0,1
2187,747,2,TRUE,1,1,0,1
2188,748,2,TRUE,1,1,0,1
2189,749,2,TRUE,1,1,0,1
2190,750,2,TRUE,1,1,0,1
2191,751,2,TRUE,1,1,0,1
2192,752,2,TRUE,1,1,0,1
2193,753,2,TRUE,1,1,0,1
2194,754,2,TRUE,1,1,0,1
2195,755,2,TRUE,1,1,0,1
2196,756,2,TRUE,1,1,0,1
2197,757,2,TRUE,1,1,0,1
2198,758,2,TRUE,1,1,0,1
2199,759,2,TRUE,1,1,0,1
2200,760,2,TRUE,1,1,0,1
2201,761,2,TRUE,1,1,0,1
2202,762,2,TRUE,1,1,0,1
2203,763,2,TRUE,1,1,0,1
2204,764,2,TRUE,1,1,0,1
2205,765,2,TRUE,1,1,0,1
